,id,code,is_true,format_code,errorline
36,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char A[100];
char B[100];
gets(A);
gets(B);
if(A[100]==B[100])
printf(""Yes"");
else
printf(""NO"");

}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
gets(varb_0);
gets(varb_1);
if(varb_0[100]==varb_1[100])
printf(""Yes"");
else
printf(""NO"");
}",9
37,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char A[100],B[100];
   int i=0,b=0,c=0,d=0;
   gets(A);
   gets(B);
   for(i=0;B[i]!='\0';i++)
   for(b=0;A[i]!='\0';b++)
   {
      if(A[b]!=B[c])
      d=0;
      if(A[b]==B[c])
      {
        c++;
        d++;
      }
   }
     if(i==d)
     printf(""yes"");
     if(i!=d)
     printf(""no"");
return 0;
}
   ",0.0,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1]!='\0';varb_1++)
   for(b=0;varb_0[varb_1]!='\0';b++)
   {
      if(varb_0[b]!=B[c])
      d=0;
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
   }
     if(varb_1==d)
     printf(""yes"");
     if(varb_1!=d)
     printf(""no"");
return 0;
}
",9
38,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
s=0;
for(i=0,j=0;B[j]!='\0';i++)
 {
   if(A[i]!=B[j])
     s=0, j=0;
   if(A[i]==B[j]) 
     {
      j++;
      s++;
     }
   if(s==strlen(B))
    {
    printf(""Yes"");
    break;
    }
 }
if(s!=strlen(B)) 
 printf(""No"") ;
}

    ",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
varb_5=0;
for(varb_3=0,varb_4=0;varb_2[varb_4]!='\0';varb_3++)
 {
   if(varb_0[varb_3]!=varb_2[varb_4])
     varb_5=0, varb_4=0;
   if(varb_0[varb_3]==varb_2[varb_4]) 
     {
      varb_4++;
      varb_5++;
     }
   if(varb_5==strlen(varb_2))
    {
    printf(""Yes"");
    break;
    }
 }
if(varb_5!=strlen(varb_2)) 
 printf(""No"") ;
}
",16
39,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
  for(i=0,j=0;A[i]!='\0';i++)
   {
     if(A[i]!=B[j])
       s=0, j=0;
     if(A[i]==B[j]) 
     {    
       s++;
       j++;
     }
   }
if(s==strlen(B))
  printf(""Yes"");
if(s!=strlen(B)) 
  printf(""No"") ;
}

",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
  for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0';varb_3++)
   {
     if(varb_0[varb_3]!=varb_2[varb_4])
       varb_5=0, varb_4=0;
     if(varb_0[varb_3]==varb_2[varb_4]) 
     {    
       varb_5++;
       varb_4++;
     }
   }
if(varb_5==strlen(varb_2))
  printf(""Yes"");
if(varb_5!=strlen(varb_2)) 
  printf(""No"") ;
}
",14
40,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100],B[100];
   scanf(""%s%s"",&A,&B);
   if(strstr(A,B)==NULL)
     printf(""No"");
   else
     printf(""Yes"");
   return 0;




}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B)==NULL)
     printf(""No"");
   else
     printf(""Yes"");
   return 0;
}",6
41,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char a[100];//
char b[100];//
char *p;
scanf(""%s%s"",a,b);
p=strstr(a,b);
if(p!=NULL)
printf(""Yes"");
else
printf(""No"");
return 0;
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
char *varb_2;
scanf(""%s%s"",varb_0,varb_1);
varb_2=strstr(varb_0,varb_1);
if(varb_2!=NULL)
printf(""Yes"");
else
printf(""No"");
return 0;
}",5
42,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100],B[100];
   scanf(""%s%s"",&A,&B);
   if(strstr(A,B)==NULL)
     printf(""No"");
   else
     printf(""Yes"");
   return 0;




}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B)==NULL)
     printf(""No"");
   else
     printf(""Yes"");
   return 0;
}",6
43,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
    char A[100],B[100];
    gets(A);
    gets(B);
    if(strstr(A,B))
    printf(""YES"");
    else
    printf(""NO"");
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
    char varb_0[100],B[100];
    gets(varb_0);
    gets(B);
    if(strstr(varb_0,B))
    printf(""YES"");
    else
    printf(""NO"");
}",5
44,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100],B[100];
   scanf(""%s%s"",&A,&B);
   if(strstr(A,B))
     {printf(""Yes"");}
   else
     {printf(""No"");}
   return 0;




}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B))
     {printf(""Yes"");}
   else
     {printf(""No"");}
   return 0;
}",6
45,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>

int main()
{
char message1[100];
char message2[100];
gets(message1);
gets(message2);
if(strncmp(message1,message2,100)==0)
printf(""No"");
else
printf(""Yes"");
 
 } ",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
gets(varb_0);
gets(varb_1);
if(strncmp(varb_0,varb_1,100)==0)
printf(""No"");
else
printf(""Yes"");
 } ",9
46,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char A[100],B[100];
   int i=0,b=0,c=0,d=0;
   gets(A);
   gets(B);
   for(i=0;B[i+1]!='\0';i++)
   
   for(b=0;A[b+1]!='\0';b++)
   {
      if(A[b]==B[c])
      {
        c++;
        d++;
      }
      
      
   }
     if(i==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
     
   ",0.0,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1+1]!='\0';varb_1++)
   for(b=0;varb_0[b+1]!='\0';b++)
   {
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
   }
     if(varb_1==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
",8
47,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
s=0;
for(i=0,j=0;A[i]!='\0',B[j]!='\0';i++)
 {
   if(A[i]!=B[j])
     s=0;
   if(A[i]==B[j]) 
     {
      j++;
      s++;
     }
   if(j==strlen(B)&&s==strlen(B))
    {
    printf(""Yes"");
    break;
    }
 }
if(j!=strlen(B)&&s!=strlen(B)) 
 printf(""No"") ;
}

",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
varb_5=0;
for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0',varb_2[varb_4]!='\0';varb_3++)
 {
   if(varb_0[varb_3]!=varb_2[varb_4])
     varb_5=0;
   if(varb_0[varb_3]==varb_2[varb_4]) 
     {
      varb_4++;
      varb_5++;
     }
   if(varb_4==strlen(varb_2)&&varb_5==strlen(varb_2))
    {
    printf(""Yes"");
    break;
    }
 }
if(varb_4!=strlen(varb_2)&&varb_5!=strlen(varb_2)) 
 printf(""No"") ;
}
",31
48,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100];
   char B[100];
   char *temp;
   scanf(""%s%s"",A,B);
   temp=strstr(A,B);
   if(temp!=NULL)
     printf(""Yes"");
   else
     printf(""No"");
   return 0;
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100];
   char varb_1[100];
   char *varb_2;
   scanf(""%s%s"",varb_0,varb_1);
   varb_2=strstr(varb_0,varb_1);
   if(varb_2!=NULL)
     printf(""Yes"");
   else
     printf(""No"");
   return 0;
}",5
49,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
    char a[100],b[100];
    gets(a);
    gets(b);
    if(strstr(a,b))
    {
        printf(""Yes"");
    }
    else
    {
        printf(""No"");
    }
    return 0;
}
",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
    char varb_0[100],b[100];
    gets(varb_0);
    gets(b);
    if(strstr(varb_0,b))
    {
        printf(""Yes"");
    }
    else
    {
        printf(""No"");
    }
    return 0;
}
",11
50,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
  for(i=0,j=0;A[i]!='\0';i++)
   {
     if(A[i]!=B[j])
       s=0, j=0;
     if(A[i]==B[j]) 
     {    
       s++;
       j++;
     }
   }
if(s!=strlen(B))
  printf(""No"");
if(s==strlen(B)) 
  printf(""Yes"") ;
}  ",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
  for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0';varb_3++)
   {
     if(varb_0[varb_3]!=varb_2[varb_4])
       varb_5=0, varb_4=0;
     if(varb_0[varb_3]==varb_2[varb_4]) 
     {    
       varb_5++;
       varb_4++;
     }
   }
if(varb_5!=strlen(varb_2))
  printf(""No"");
if(varb_5==strlen(varb_2)) 
  printf(""Yes"") ;
}  ",14
51,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100],B[100];
   scanf(""%s%s"",A,B);
   if(strstr(A,B)!=NULL)
     {printf(""Yes"");}
   else
     {printf(""No"");}
   return 0;
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",varb_0,B);
   if(strstr(varb_0,B)!=NULL)
     {printf(""Yes"");}
   else
     {printf(""No"");}
   return 0;
}",6
52,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
#define M 100
void main()
{
    char A[M],B[M];
    //输入A、B
    gets(A);
    gets(B);
    if(strstr(A,B))
    printf(""YES"");
    else
    printf(""NO"");
}",0.0,"#include<stdio.h>
#include<string.h>
#define M 100
void main()
{
    char varb_0[M],B[M];
    gets(varb_0);
    gets(B);
    if(strstr(varb_0,B))
    printf(""YES"");
    else
    printf(""NO"");
}",10
53,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
s=0;
for(i=0,j=0;A[i]!='\0',B[j]!='\0';i++)
 {
   if(A[i]!=B[j])
     s=0;
   if(A[i]==B[j]) 
     {
      j++;
      s++;
     }
   if(j==strlen(B)&&s==strlen(B))
    {
    printf(""Yes"");
    break;
    }
 }
if(j!=strlen(B)) 
 printf(""No"") ;
}

",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
varb_5=0;
for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0',varb_2[varb_4]!='\0';varb_3++)
 {
   if(varb_0[varb_3]!=varb_2[varb_4])
     varb_5=0;
   if(varb_0[varb_3]==varb_2[varb_4]) 
     {
      varb_4++;
      varb_5++;
     }
   if(varb_4==strlen(varb_2)&&varb_5==strlen(varb_2))
    {
    printf(""Yes"");
    break;
    }
 }
if(varb_4!=strlen(varb_2)) 
 printf(""No"") ;
}
",25
54,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char A[100],B[100];
   int i=0,b=0,c=0,d=0;
   gets(A);
   gets(B);
   for(i=0;B[i+1]!='\0';i++)
   
   for(b=0;A[b+1]!='\0';b++)
   {
      if(A[b]==B[c])
      {
        c++;
        d++;
      }
      if(c==i)
      break;
      
   }
     if(i==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
     
   ",0.0,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1+1]!='\0';varb_1++)
   for(b=0;varb_0[b+1]!='\0';b++)
   {
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
      if(c==varb_1)
      break;
   }
     if(varb_1==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
",8
55,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char a[100];
char b[100];
char *p;
scanf(""%s%s"",a,b);
p=strstr(a,b);
if(p != NULL)
printf(""Yes"");
else
printf(""No"");
return 0;
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
char *varb_2;
scanf(""%s%s"",varb_0,varb_1);
varb_2=strstr(varb_0,varb_1);
if(varb_2 != NULL)
printf(""Yes"");
else
printf(""No"");
return 0;
}",8
56,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
s=0;
for(i=0,j=0;A[i]!='\0',B[j]!='\0';i++)
 {
   if(A[i]!=B[j])
     s=0, j=0;
   if(A[i]==B[j]) 
     {
      j++;
      s++;
     }
   if(s==strlen(B))
    {
    printf(""Yes"");
    break;
    }
 }
if(s!=strlen(B)||s!=strlen(B)) 
 printf(""No"") ;
}

",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
varb_5=0;
for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0',varb_2[varb_4]!='\0';varb_3++)
 {
   if(varb_0[varb_3]!=varb_2[varb_4])
     varb_5=0, varb_4=0;
   if(varb_0[varb_3]==varb_2[varb_4]) 
     {
      varb_4++;
      varb_5++;
     }
   if(varb_5==strlen(varb_2))
    {
    printf(""Yes"");
    break;
    }
 }
if(varb_5!=strlen(varb_2)||varb_5!=strlen(varb_2)) 
 printf(""No"") ;
}
",19
